Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,20249263.46,693155.86,1701000.00,6996,0,11747,0,16712,0,926,0,59,0.724080011115412,10272
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,26751560.01,533472.20,193160.00,6476,0,2839,0,16339,0,1469,0,57,0.9668298949555542,19392
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,5284524.58,150504.79,28030.00,2443,0,2988,0,5264,0,283,0,19,0.7732293803913984,2916
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6784023.00,6374003.51,7586586.00,5990,0,3931,0,12995,0,1343,0,41,0.9531584532729932,22236
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,5992035.76,1255983.75,3336513.00,1139,0,869,0,2773,0,378,0,56,0.34082928810266555,12948
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2605878.34,651402.23,1727302.00,842,0,352,0,2072,0,384,0,14,0.9512732490263751,3468
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1146293.68,984085.30,294075.78,817,0,484,0,1807,0,304,0,29,0.9351867825403937,2724
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,3280638.30,1357924.27,530853.89,1199,0,589,0,3002,0,342,0,31,0.9334107559079917,3528
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1683830.26,522013.07,538083.49,607,0,413,0,1822,0,240,0,27,0.9207787842190441,2364
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,14380808.50,0.00,0,4408,0,1591,0,9638,0,1677,48,0.9821873586202429,17076
